Latitude,Longitude,Length,Width,Height,Area,Depth,Volume,Run out distance,Type of Material,Type of movement,Rate of movement,Activity,Distribution,Style,Failure mechanism,Geomorphology,Land use/Land cover,Hydrological condition,Triggering Factor,Risk
18.096675,73.634688,35,17,27,298,1.5,446,112,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.096783,73.63671,15,4,10,30,0.5,15,25,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.096635,73.636744,15,4,10,30,0.5,15,25,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.095977,73.636675,12,13,6,78,1,78,4,Debris,Slide,Moderate,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.095452,73.636626,10,12,6,60,2,120,6,Debris,Slide,Rapid,Reactivated,Retrogressive,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.095174,73.636683,7,4,4,14,1,14,6.4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.094887,73.637321,9,7,4,32,1.5,47,2.8,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.094725,73.638026,3,4,2,6,0.3,2,3,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.095297,73.638746,8,10,5,40,1.5,60,4,Debris,Slide,Moderate,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.096067,73.63894,10,11,8,55,0.4,22,25,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.096326,73.641241,7,10,3,35,0.6,21,3,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.100204,73.641383,35,26,25,455,4,1820,2,Debris,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.097736,73.642641,12,15,8,90,1.5,135,3,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.096492,73.642642,10,7,8,35,2,70,4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.097873,73.645184,5,3,3,8,0.3,2,2,Debris,Slide,Moderate,Reactivated,Diminishing,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.098776,73.645009,12,23,8,138,0.7,97,10,Debris,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.098762,73.645354,2,2,2,2,0.2,0,6,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
